"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",17.8896708472207,-1.63692866172649,0.453209807777318,-3.61185621678069,0.000304013120629362,1
"0610009B22Rik",10.4710086626842,0.475954002495255,0.534042711841636,0.891228345489328,0.372806680625606,1
"0610012G03Rik",40.6139499984543,-0.664355608140875,0.288234692527678,-2.30491202261185,0.0211715011396695,0.160171781744948
"0610030E20Rik",18.1230341380215,-0.120028405021867,0.408173122217622,-0.294062490861101,0.768710152286898,1
"0610039K10Rik",18.879564656979,-0.687627585124361,0.413051681326697,-1.66474951249621,0.0959627403610505,1
"0610040J01Rik",48.5517290082978,0.0498725133452196,0.266022116651292,0.187475064002267,0.851288173102206,0.960401494229683
"1110004F10Rik",18.4418310153506,0.912174876864458,0.408362658339601,2.23373723879003,0.0255003672374818,1
"1110032A03Rik",13.1208921710472,0.14849845351586,0.471664917169777,0.314838878428619,0.752883991008217,1
"1110035H17Rik",17.0670530153732,-0.973175922042691,0.435241609214798,-2.23594413180844,0.025355430994093,1
"1110038B12Rik",19.9283505595051,1.07229570513976,0.406253186242684,2.63947641877495,0.00830341997289918,1
"1110038F14Rik",8.53039864944967,0.0390316588932178,0.584744447549324,0.0667499435980971,0.946780773697977,1
"1110059E24Rik",23.7261105163431,0.899064898174567,0.368719428879371,2.43834424702556,0.0147547155166579,0.125699521139613
"1110065P20Rik",14.3194755880332,-0.37180192626649,0.463079082882775,-0.802890780451444,0.422037865319878,1
"1600012H06Rik",26.6526913203077,0.359877582210674,0.348544123220391,1.03251656887962,0.301830189855784,0.680749445194083
"1600014C10Rik",9.35363210036612,-0.113922809823968,0.574262911210788,-0.198380929013456,0.842747037366347,1
"1700003D09Rik",20.4471195290218,-1.07264769422949,0.398477887243633,-2.69186253131699,0.00710542264062757,1
"1700017B05Rik",18.4062985570065,0.347847369926568,0.414207420868426,0.839790289602423,0.401025978901137,1
"1700018L02Rik",7.98822089817739,-0.813665613431062,0.618092396449575,-1.3164142094368,0.188035055751252,1
"1700021J08Rik",6.56007569224912,-0.231121582178814,0.7114438011538,-0.324862739409617,0.745284958269351,1
"1700022I11Rik",10.212253105207,-0.0740865441915056,0.537248909609567,-0.137899850267442,0.890319568747491,1
"1700023B13Rik",10.2862366818342,-1.36192235313549,0.579300136917989,-2.35097882141238,0.018724099545959,1
"1700025G04Rik",10.3893785438781,0.666449723893439,0.551567520146418,1.20828311956535,0.226938379235405,1
"1700034P13Rik",5.53784738200106,0.803642771307594,0.724757554056131,1.10884359439923,0.267497660381718,1
"1700037H04Rik",24.3547296871318,-0.587178733633798,0.372568099565622,-1.57603062183367,0.115018746284612,0.447541907957089
"1700101I11Rik",6.97753926446599,-1.07791754315681,0.675273576235425,-1.59626791435566,0.110428990436483,1
"1700123O20Rik",22.5621462077393,-0.0933518903842275,0.38812324506123,-0.240521255998209,0.809926186926805,0.945617010258302
"1810013L24Rik",38.1012857898622,0.571515780231695,0.293859227844243,1.94486245820608,0.0517915344612943,0.287889495005539
"1810014B01Rik",20.0437914782706,0.411198945282657,0.391910890104223,1.04921541009821,0.294078987754644,1
