"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"0610005C13Rik",28,33,19,11,6,10
"0610009B22Rik",8,8,10,8,16,14
"0610030E20Rik",16,16,24,19,16,19
"0610039K10Rik",18,23,28,10,17,18
"0610040J01Rik",59,37,46,52,53,49
"1110004F10Rik",13,11,14,25,25,25
"1110035H17Rik",19,25,23,15,14,7
"1110038B12Rik",12,16,10,23,30,31
"1110038F14Rik",7,7,11,12,9,6
"1110059E24Rik",13,19,17,29,32,35
"1110065P20Rik",15,14,19,18,13,8
"1600012H06Rik",22,29,18,33,27,33
"1600014C10Rik",14,6,9,5,11,12
"1700003D09Rik",21,30,31,13,14,14
"1700017B05Rik",16,16,16,29,15,20
"1700018L02Rik",6,14,10,6,6,6
"1700021J08Rik",9,10,2,5,11,3
"1700022I11Rik",11,13,7,13,10,8
"1700025G04Rik",13,5,6,12,18,10
"1700034P13Rik",4,3,5,6,9,7
"1700037H04Rik",37,28,22,19,28,14
"1700101I11Rik",6,11,11,2,7,5
"1700123O20Rik",29,28,12,22,24,22
"1810014B01Rik",19,17,15,21,21,29
"1810030O07Rik",13,11,11,13,14,23
"1810037I17Rik",36,33,43,55,47,33
"1810049J17Rik",13,23,17,7,4,8
"1810055G02Rik",25,26,22,16,30,12
"1810065E05Rik",1131,1257,1251,1689,2016,1699
"2010001K21Rik",7,6,4,5,6,4
"2010003K11Rik",7,13,9,4,5,5
"2010315B03Rik",8,9,10,6,11,12
"2200002D01Rik",252,243,213,194,186,159
"2210009P08Rik",3,2,2,9,7,8
"2210016F16Rik",58,53,47,36,51,58
"2210016L21Rik",18,25,24,19,26,24
"2310011J03Rik",39,48,39,23,32,32
"2310022A10Rik",15,9,9,13,11,10
"2310022B05Rik",48,47,52,55,51,45
"2310030G06Rik",3,6,8,11,6,5
"2310033P09Rik",9,12,8,7,11,9
"2310039H08Rik",20,15,12,11,14,11
"2310061I04Rik",43,36,40,53,35,28
"2410002F23Rik",5,6,10,7,11,7
"2410004B18Rik",6,8,10,6,9,5
"2410006H16Rik",1,11,17,26,20,26
"2510002D24Rik",14,7,11,8,5,13
"2510009E07Rik",22,28,26,17,25,20
"2510039O18Rik",108,152,127,126,111,85
"2610008E11Rik",6,1,8,3,6,8
"2610035D17Rik",12,17,8,14,12,9
"2610206C17Rik",10,10,10,7,7,7
"2610528J11Rik",40,35,40,49,40,25
"2810004N23Rik",15,13,18,15,15,16
"2810013P06Rik",10,5,5,7,11,4
"2810025M15Rik",6,5,6,5,5,8
"2810459M11Rik",18,26,30,21,16,21
"2900026A02Rik",123,189,186,134,133,136
"3110040N11Rik",10,5,6,7,5,1
"3110082I17Rik",7,3,7,10,4,3
"3830406C13Rik",6,10,4,12,9,11
"4632415L05Rik",11,6,5,3,8,6
"4731419I09Rik",3,6,7,4,8,2
"4833420G17Rik",11,8,7,14,19,14
"4833438C02Rik",13,11,6,12,5,11
"4833439L19Rik",121,107,109,96,121,119
"4921514A10Rik",3,8,8,6,1,6
"4921516A02Rik",10,12,16,3,7,3
