"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"0610005C13Rik",5.47666587009332,5.76637767338552,4.95863288678372,4.11557686894484,3.23334029779162,4.00558701471508
"0610030E20Rik",4.0251668844873,4.08032018255528,4.60617253938111,4.19644363190336,3.88451206994962,4.21583271716313
"0610039K10Rik",6.73223590690347,7.14118561468563,7.39165390109747,5.83006964298205,6.50179301973206,6.68705057488389
"0610040J01Rik",7.10602750132494,6.49707824879172,6.77665924416092,6.85966886609507,6.80341370538302,6.79501317796372
"1110004F10Rik",4.91078012620049,4.73490811976103,5.04044232069927,5.76605709770801,5.68341592787017,5.78618275363083
"1110035H17Rik",6.43095362867729,6.88104553415446,6.73042529602513,6.02923773057168,5.84846557436061,4.9745725048927
"1110038B12Rik",5.24445441402002,5.70749028021432,5.01517371880611,6.0995588466539,6.39470859634964,6.54503210460802
"1110038F14Rik",4.41617430072825,4.47216800361323,5.06966092654447,5.10111173814759,4.61911657616022,4.16189010029952
"1110059E24Rik",4.62116864911592,5.20709360519843,5.02049731210294,5.68113775348934,5.73781815531197,5.96778143825902
"1110065P20Rik",5.37095779110643,5.33111288118799,5.73112833773497,5.56341646652043,5.02390061683601,4.4506875196529
"1600012H06Rik",5.25556984489415,5.70251459647808,5.00058462386408,5.76295840357259,5.39705233250738,5.78308309780875
"1600014C10Rik",4.37484649196251,3.29491195673375,3.80058989393223,2.9517080521454,3.9049723292098,4.12095930327689
"1700003D09Rik",6.41301177109377,6.98071267449187,6.99621025760174,5.66666718953108,5.68890508083072,5.79167938202046
"1700017B05Rik",4.17186884555107,4.22736447364494,4.19738863486072,4.92951666376994,3.94304397550996,4.43415669565873
"1700018L02Rik",3.85289774367121,5.07398856644911,4.57522336981927,3.79145152895301,3.71346817655476,3.81048115018349
"1700021J08Rik",6.46245503274568,6.67092343954452,4.37437388214015,5.56273408939498,6.60010142282391,4.86576668628074
"1700022I11Rik",3.85698192318017,4.13788187856286,3.2849172110552,4.02045737156139,3.59094401296284,3.39307205023985
"1700025G04Rik",2.83649551414607,1.79107292946658,1.95929567304894,2.68173932827326,3.11497633634335,2.47979129336711
"1700034P13Rik",3.03297258693157,2.72518385243219,3.34353238802701,3.49756366668736,3.96033938145367,3.72052652722781
"1700101I11Rik",4.23964270739634,5.13596183910523,5.10518751220854,2.7434236561739,4.30795549845256,3.9490909726609
"1700123O20Rik",6.40053715697576,6.40850587720021,5.17776295509931,5.94234169755367,5.98297614511486,5.96251038561563
"1810014B01Rik",5.35426344265798,5.25506428548065,5.0487823746614,5.43066880530864,5.34844427671038,5.90723125125468
"1810030O07Rik",4.79852087407097,4.62316922694918,4.59278345803545,4.73482911958811,4.75666470708345,5.55426027709207
"1810037I17Rik",7.44183237422229,7.37538490603924,7.72369661614678,7.984531978576,7.67489659605958,7.27172504818557
"1810049J17Rik",7.30136083594434,8.17898447399907,7.71310533815359,6.35076560583341,5.47421537126437,6.56148057171659
"1810055G02Rik",5.91244580395649,6.02587860878256,5.75778494203839,5.21761732219951,6.02332411380165,4.83522276211614
"1810065E05Rik",12.7322216440777,12.9432684893497,12.9046854793749,13.2446076875952,13.4156831426639,13.2736209899519
"2010001K21Rik",3.55351901903907,3.40450629919826,2.85874790702977,3.05808318618408,3.21654969652715,2.79635375433228
"2010003K11Rik",5.10480713653357,6.03618856154465,5.4844265769091,4.26580067458604,4.49205762392819,4.5922955659893
"2010315B03Rik",3.63052595528903,3.8419684234469,3.9542138012045,3.19475887553073,3.91696211351318,4.13306783660439
"2200002D01Rik",9.81135648071136,9.81757213382717,9.59604979415032,9.36844618884834,9.2236886639006,9.10235886312198
"2210009P08Rik",5.20696784072565,4.69778771721329,4.66733639332887,6.70015392524103,6.258377587945,6.55224195044969
"2210016L21Rik",4.9706199826236,5.48896683041753,5.40046808013856,4.98212410007679,5.34008143286241,5.3296043739822
"2310011J03Rik",7.05243124246115,7.40828958961381,7.07923454335775,6.23287072352724,6.62050130640791,6.72420819737418
"2310022A10Rik",4.2078523510822,3.57569151260653,3.54669074411292,3.95142524051882,3.64957435956168,3.61944346711956
"2310022B05Rik",6.35488489974196,6.38285860662223,6.49570843135946,6.48363842005817,6.29277772455391,6.21793231136624
