"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"0610005C13Rik",5.86120199582674,6.0362568967632,5.59850993595187,5.25568896940084,4.96557273879028,5.22395021431705
"0610009B22Rik",5.11178751824526,5.13814452466943,5.2265950951112,5.10221832833794,5.44139536053947,5.40603264886071
"0610012G03Rik",6.51970287745024,6.32391693562844,6.20647817112812,6.02002682856805,5.96418860801388,5.89708106449146
"0610030E20Rik",5.47856657398605,5.51408864316969,5.7597408699088,5.5734589773928,5.44139536053947,5.59504883566704
"0610039K10Rik",5.55227967600267,5.75819198999057,5.87417980059635,5.20746536979689,5.47796008211991,5.55985688505297
"0610040J01Rik",6.50346788762001,6.13189818806863,6.28728864394254,6.36421719681476,6.34456896985766,6.33992828736605
"1110004F10Rik",5.35702539501932,5.29704666693914,5.4090886182916,5.76157080815104,5.73263150890535,5.78557044951582
"1110032A03Rik",5.47856657398605,5.29704666693914,5.2265950951112,5.4656491495814,5.36404105831134,5.36364977745669
"1110035H17Rik",5.58730651533967,5.8192392177723,5.72928244142867,5.42707934182423,5.36404105831134,5.05815884030528
"1110038B12Rik",5.31294218796687,5.51408864316969,5.2265950951112,5.70229847115052,5.8668057486313,5.94915867597384
"1110038F14Rik",5.05311841832635,5.07793041792329,5.27563313457853,5.30149816979584,5.13754205674598,4.99438761671055
"1110059E24Rik",5.35702539501932,5.62536614149047,5.52678260635173,5.87174171971978,5.91648010793078,6.04708415814488
"1110065P20Rik",5.43965665295375,5.43281381493403,5.59850993595187,5.53872841965799,5.32295651685583,5.11714250360559
"1600012H06Rik",5.68612724348046,5.9326087224259,5.56324430090336,5.97257784312174,5.78816590121199,5.999096134908
"1600014C10Rik",5.39919792108409,5.01281145438538,5.17472186569018,4.91257430578816,5.23501097867061,5.31934410980889
"1700003D09Rik",5.65415540968199,5.95935568423201,5.95331460526017,5.34518273661199,5.36404105831134,5.40603264886071
"1700017B05Rik",5.47856657398605,5.51408864316969,5.48902014940209,5.87174171971978,5.40346746918979,5.62913913174123
"1700018L02Rik",4.98969157229724,5.43281381493403,5.2265950951112,4.98130146088229,4.96557273879028,4.99438761671055
"1700021J08Rik",5.16655231223624,5.24713846389446,4.65336393614403,4.91257430578816,5.23501097867061,4.75812455381809
"1700022I11Rik",5.2667100457399,5.38961042499752,5.06041324152114,5.34518273661199,5.18763579306819,5.11714250360559
"1700023B13Rik",5.47856657398605,5.43281381493403,5.4090886182916,5.25568896940084,4.89812798747935,4.65211895452117
"1700025G04Rik",5.35702539501932,4.94152534855106,4.99648809404643,5.30149816979584,5.51327762293067,5.22395021431705
"1700034P13Rik",4.84301353655954,4.77141461590764,4.92652591408716,4.98130146088229,5.13754205674598,5.05815884030528
"1700037H04Rik",6.0834081574557,5.90525747461409,5.69799004366651,5.5734589773928,5.81496761543054,5.40603264886071
"1700101I11Rik",4.98969157229724,5.29704666693914,5.27563313457853,4.64436625957968,5.02722548636394,4.92459606611059
"1700123O20Rik",5.88799787378125,5.90525747461409,5.3222068033166,5.67146119851187,5.70382285526248,5.694325511023
"1810013L24Rik",5.93985841620601,5.90525747461409,5.97858443435353,6.10979833584041,6.36177769924769,6.33992828736605
"1810014B01Rik",5.58730651533967,5.55247459838642,5.44983589300148,5.63975134324774,5.61268840364149,5.89708106449146
"1810030O07Rik",5.35702539501932,5.29704666693914,5.27563313457853,5.34518273661199,5.36404105831134,5.72555528620293
"1810037I17Rik",6.06061015227074,6.0362568967632,6.22716147082875,6.41646646720137,6.23624482324482,5.999096134908
"1810049J17Rik",5.35702539501932,5.75819198999057,5.52678260635173,5.04411217635251,4.82307439014415,5.11714250360559
"1810055G02Rik",5.77696616464704,5.84860971594894,5.69799004366651,5.4656491495814,5.8668057486313,5.31934410980889
"1810058I24Rik",5.31294218796687,5.58953141945229,5.4090886182916,5.50282599200703,5.61268840364149,5.62913913174123
"1810065E05Rik",10.1694123732923,10.397971990616,10.3345275651165,10.7031656517659,10.8962775596053,10.7581548775902
"2010001K21Rik",5.05311841832635,5.01281145438538,4.8486348542232,4.91257430578816,4.96557273879028,4.84689745237645
"2010003K11Rik",5.05311841832635,5.38961042499752,5.17472186569018,4.83607576833562,4.89812798747935,4.92459606611059
"2010315B03Rik",5.11178751824526,5.19433315269707,5.2265950951112,4.98130146088229,5.23501097867061,5.31934410980889
"2200002D01Rik",8.14756466772518,8.17438573975332,7.95737995269374,7.79449490976665,7.69397649003421,7.59355467469808
"2210009P08Rik",4.75473886659814,4.6630446030223,4.65336393614403,5.15646398126622,5.02722548636394,5.11714250360559
"2210016F16Rik",6.48703268523301,6.45582266242595,6.30672562338083,6.04308376233343,6.3094558471311,6.49836500261595
"2210016L21Rik",5.55227967600267,5.8192392177723,5.7597408699088,5.5734589773928,5.76073259868476,5.75595339760198
"2310011J03Rik",6.12779660351128,6.36297535574158,6.14233850137652,5.70229847115052,5.91648010793078,5.97438232139144
"2310022A10Rik",5.43965665295375,5.19433315269707,5.17472186569018,5.34518273661199,5.23501097867061,5.22395021431705
"2310022B05Rik",6.31035711430974,6.34359207424148,6.39978996037147,6.41646646720137,6.3094558471311,6.26285722999906
