,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
mt-Cytb,0,1,2,0,3,2
mt-Td,2,3,1,2,1,0
mt-Co1,0,0,0,1,0,1
mt-Tw,18,16,18,15,26,22
mt-Ti,4,3,4,3,1,1
mt-Nd1,18,11,25,24,34,31
mt-Rnr2,29,23,33,42,50,50
mt-Rnr1,3,1,4,5,9,10
mt-Tf,1,0,1,1,1,0
Gm24014,31,30,33,34,36,39
Gm24155,0,0,2,1,0,0
Gm24274,19,17,12,27,31,31
Gm24946,1,0,2,2,1,1
Actl10,0,0,2,0,0,1
n-R5s40,21,17,15,25,24,27
n-R5s113,4,2,1,1,0,5
Gm25334,0,1,1,0,0,0
Mir29b-1,1,1,0,0,0,0
Gm23265,2,2,0,0,1,1
Gm22730,1,0,0,0,1,0
Mir669l,16,22,14,19,18,6
Gm25879,6,6,1,0,1,3
Gm23273,2,0,0,2,1,2
Gm23446,32,30,41,40,41,37
Gm22836,4,3,5,6,9,7
Gm24242,4,3,2,2,1,7
Gm22321,1,1,3,2,4,0
Gm23437,2,3,1,3,2,5
Gm25817,3,4,2,3,5,1
Gm25528,1,0,1,1,0,0
Gm24415,26,28,38,46,47,35
Gm23411,7,4,4,7,2,5
Gm23564,156,140,141,153,134,162
Gm27342,1,0,1,0,0,0
Gm23992,5,5,9,4,4,4
Mir431,11,9,10,8,8,9
Gm25141,48,40,28,35,34,35
Gm25417,3,0,0,0,1,0
Mir218-2,89,62,74,94,96,112
Gm24384,11,12,13,15,9,14
Gm26475,1,1,0,0,0,0
Gm23753,1,2,1,0,1,0
Gm27864,0,0,1,4,0,1
Gm49799,2,3,6,1,5,6
Mir466b-5,2,1,1,1,1,1
Gm24567,4,6,6,7,3,6
Gm24756,1,1,0,0,0,0
Gm22067,3,1,0,3,0,0
Mirlet7c-2,96,90,120,167,146,156
Mir7094-2,28,31,29,27,21,31
Gm25609,15,9,15,14,17,16
Mir488,10,13,9,17,5,14
Gm23859,10,15,17,17,22,30
Mir6940,20,20,24,25,18,19
Gm24437,1,0,0,1,2,3
Gm27399,1,0,0,2,1,0
Mir7219,1,1,0,2,2,3
Gm25729,3,5,3,1,7,4
Gm23201,0,0,1,3,2,1
Gm26214,0,0,1,1,1,1
Gm25019,4,4,5,4,1,1
Gm25538,1,2,2,0,2,2
Gm25604,26,13,16,35,28,24
Gm23759,28,28,31,33,42,32
Gm25836,1,0,0,1,0,1
Mir7076,4,7,4,17,16,6
Gm24690,0,2,0,0,1,2
Gm23543,6,1,2,5,7,4
Gm25299,1,3,3,1,1,0
Gm26326,14,12,15,14,13,14
Snord23,8,10,12,6,14,9
Gm23346,4,6,2,6,1,7
Gm25693,6,12,7,5,8,9
Gm24828,42,32,45,54,56,51
Gm27521,4,9,5,8,2,6
Gm23622,0,1,0,1,0,1
Gm24713,26,10,28,32,26,27
Gm25081,40,39,41,27,28,3
Mir465b-2,10,7,5,9,3,0
Gm23251,9,8,11,10,9,0
Gm27543,191,215,218,159,144,4
Gm22498,180,202,207,148,182,6
Gm24457,137,153,196,118,143,4
Gm23497,221,201,251,136,152,4
Gm23065,52,45,51,58,61,47
Gm24173,0,1,2,1,1,0
Gm24211,1,1,1,0,1,2
Gm24136,11,4,6,3,5,2
Gm25772,0,2,1,1,2,1
Gm23802,26,40,36,46,46,50
Gm27596,2,1,3,1,1,3
Gm23330,0,0,1,0,1,0
n-R5s128,1,0,0,0,0,2
Mir483,6,3,4,2,6,6
Gm26490,9,5,8,10,8,6
Gm23795,15,4,13,8,11,13
Gm25228,1,0,0,1,0,0
Gm22916,2,7,10,14,13,12
Gm24212,0,1,0,1,1,2
Gm24097,0,1,0,0,2,1
Gm25956,174,180,184,156,140,101
Gm24423,4,7,3,2,1,0
Gm24783,0,1,0,1,0,1
Mir465d,6,6,3,4,6,5
Gm22056,0,0,2,1,1,0
Gm25092,42,37,35,29,40,32
Mir713,22,23,27,35,28,24
Mir208b,4,2,3,5,4,1
Gm25629,1,0,0,3,1,1
Gm24561,1,0,2,0,0,0
Gm23740,93,115,108,111,104,109
Gm22988,305,306,312,364,358,335
Gm23083,3,1,0,0,4,4
Gm25637,2,2,1,1,1,3
Gm22640,105,102,104,130,111,93
Gm25179,0,3,2,4,1,2
Gm23112,0,0,1,1,0,0
Gm26040,81,67,95,113,87,97
Mir365-1,108,84,77,113,103,91
Mir181b-1,7,4,8,15,16,4
n-R5s136,46,45,50,59,58,50
Mir466p,0,1,1,1,1,2
Gm26303,20,21,34,17,21,19
Mir212,329,276,293,297,273,276
Gm24346,0,0,0,1,1,0
Gm24064,33,25,21,24,22,18
Mir5623,4,1,4,1,2,0
Gm25194,2,10,8,4,8,7
Gm22987,1,0,1,1,1,1
Gm26335,0,0,1,0,0,1
Gm24217,105,107,72,89,98,98
Gm25809,122,110,134,121,148,114
Gm23300,0,1,2,3,1,0
Gm25202,126,93,131,98,102,99
Gm22600,0,0,0,1,1,0
Gm24263,1,1,0,0,2,1
Gm24313,13,15,20,7,14,14
Gm23054,74,59,76,73,107,86
Mir652,30,22,28,32,44,31
Gm27861,145,100,109,168,182,175
Gm26479,37,24,39,26,38,27
Gm23370,1,4,3,4,3,1
Mir7080,5,2,2,2,3,3
Gm22334,8,6,4,8,5,3
Mir7652,25,17,20,20,26,29
Gm25969,26,30,16,26,31,26
Gm23912,57,43,55,59,51,78
Gm44454,4,11,5,5,4,2
Gm22080,2,4,2,2,3,4
Gm24370,0,1,6,4,2,1
Gm25070,1,0,0,1,2,2
Gm24083,24,16,33,37,21,37
Gm23601,11,13,11,20,19,8
Rprl2,25,28,30,21,36,45
Gm24398,17,29,12,19,14,11
Mir511,31,21,12,18,20,20
Gm24884,0,0,1,0,1,0
Gm24648,28,31,30,33,37,35
Gm23645,0,2,1,1,0,0
Mir1971,30,33,27,43,28,39
Gm22726,0,1,0,1,0,0
Gm26265,13,18,18,37,33,26
Gm26320,1,2,0,6,4,4
Gm25593,0,1,5,5,9,2
Gm22501,0,1,1,2,0,3
Mir682,2,0,1,2,1,0
Mir6375,1,0,1,0,0,1
Gm23263,275,273,286,260,253,206
Gm23630,6,5,1,7,6,2
Mir5104,15,24,21,36,29,31
Snord78,1,1,0,1,1,2
Gm25336,1,6,1,0,0,2
Gm26456,14,14,14,19,22,30
Gm44314,1,1,0,0,1,0
Gm25740,25,24,22,19,18,25
Gm25744,13,7,11,8,10,14
Gm24991,15,13,14,12,24,14
Gm22264,32,35,46,31,31,39
Gm23766,16,11,9,18,18,14
Gm22233,2,1,0,0,1,0
Gm24494,27,31,31,51,48,43
Gm25426,6,0,0,1,3,4
Gm26430,0,3,6,6,3,2
Mir6969,11,10,9,6,13,14
Gm25820,5,14,11,8,11,10
Gm25253,0,2,0,0,1,0
Gm26124,40,31,30,51,60,53
Gm25865,7,0,3,6,6,10
Mir6358,0,1,0,0,1,0
Gm22122,299,374,356,830,750,628
Gm27899,20,32,30,60,65,49
Gm22819,12,6,6,12,15,11
Gm24075,97,164,131,316,300,391
Gm25644,0,0,0,1,1,0
Gm22938,7,3,9,3,8,14
Mir485,1,0,1,1,0,0
Gm44310,0,1,0,1,0,2
Gm22584,35,33,40,24,24,29
Mir346,2,6,2,3,2,10
Snora62,32,46,38,59,51,60
Mir3473g,1,0,0,1,0,1
Gm26315,10,3,11,27,21,21
Gm26243,41,49,52,49,65,48
Gm25486,31,24,32,32,26,42
Gm23764,0,0,2,1,3,1
Gm25337,99,93,102,126,94,142
Gm25250,15,11,18,18,26,14
Gm22469,13,9,12,6,10,21
Gm22667,3,2,1,7,5,8
Gm44299,4,0,1,2,2,1
Mir410,6,4,4,6,11,3
Rn7s1,2,3,2,5,6,3
Gm27285,2,3,4,2,5,5
Gm24257,56,45,44,41,60,53
Mir3110,3,0,5,1,1,0
Gm27853,14,6,7,8,13,8
Gm22418,9,13,14,12,15,25
Gm23958,10,6,7,7,7,12
Gm22520,112,80,102,118,113,103
Gm22379,3,3,2,0,0,4
Gm22989,22,20,14,11,8,13
Gm26164,80,66,73,63,72,88
Gm23320,12,10,9,14,9,17
Rnu1a1,5,3,3,1,1,1
Gm27591,27,33,37,34,28,51
Mir5615-2,7,5,8,5,4,6
Snord49b,1,3,2,0,0,2
Gm23730,12,12,16,12,12,14
Mir6910,0,1,0,0,1,1
Gm25187,6,6,14,1,4,7
Gm22980,0,0,0,0,1,2
Gm22085,127,106,103,87,114,106
n-R5s92,15,16,8,6,7,5
Gm23304,1,0,1,0,0,0
Gm24375,4,2,1,2,2,3
Gm22391,2,3,7,1,2,3
Gm25585,11,15,16,10,13,16
Gm23287,5,14,8,11,23,7
Gm25163,4,3,2,3,4,4
Gm24951,3,0,3,3,7,3
Gm22531,2,2,2,1,0,0
Gm25188,94,77,106,121,105,126
