,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
0610005C13Rik,28,33,19,11,6,10
0610006L08Rik,0,0,0,0,0,0
0610009B22Rik,8,8,10,8,16,14
0610009E02Rik,3,2,1,3,0,0
0610009L18Rik,1,1,1,1,0,1
0610010F05Rik,7,8,3,16,4,17
0610010K14Rik,0,0,0,0,0,0
0610012D04Rik,0,0,0,0,0,0
0610012G03Rik,60,46,42,35,34,29
0610025J13Rik,0,0,0,0,0,0
0610030E20Rik,16,16,24,19,16,19
0610031O16Rik,0,0,0,0,0,0
0610033M10Rik,0,0,0,0,0,0
0610038B21Rik,0,0,1,0,0,1
0610039K10Rik,18,23,28,10,17,18
0610040B10Rik,2,0,1,0,0,1
0610040F04Rik,2,4,3,2,2,1
0610040J01Rik,59,37,46,52,53,49
0610043K17Rik,0,0,0,0,0,0
0710001A04Rik,0,0,0,0,0,0
1010001B22Rik,0,0,0,0,0,0
1100001I12Rik,0,0,0,0,0,0
1110002E22Rik,0,1,0,0,0,0
1110002J07Rik,0,0,0,0,0,0
1110002L01Rik,2,1,2,3,3,4
1110002O04Rik,0,0,0,0,0,0
1110003F10Rik,1,0,0,0,0,0
1110004F10Rik,13,11,14,25,25,25
1110006O24Rik,0,1,0,0,3,0
1110008E08Rik,0,0,0,0,0,0
1110008P14Rik,15,13,15,10,18,10
1110012L19Rik,7,11,6,8,7,8
1110013H19Rik,0,0,0,2,0,0
1110015O18Rik,0,0,0,0,0,0
1110017D15Rik,0,0,1,0,0,0
1110018N20Rik,0,1,2,2,0,0
1110019B22Rik,0,0,0,0,0,0
1110019D14Rik,2,1,1,1,4,2
1110020A21Rik,0,0,0,0,1,0
1110025L11Rik,0,0,0,0,0,0
1110025M09Rik,0,0,0,0,1,0
1110028F11Rik,0,0,0,0,0,0
1110028F18Rik,0,0,0,0,0,0
1110032A03Rik,16,11,10,16,14,13
1110032F04Rik,0,0,0,0,0,0
1110035H17Rik,19,25,23,15,14,7
1110038B12Rik,12,16,10,23,30,31
1110038F14Rik,7,7,11,12,9,6
1110046J04Rik,4,9,4,3,5,7
1110051M20Rik,13,16,10,9,13,6
1110057P08Rik,0,0,0,0,0,0
1110059E24Rik,13,19,17,29,32,35
1110059G10Rik,4,5,4,5,7,6
1110060G06Rik,0,0,0,0,0,0
