,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
ENSMUSG00000051951,4.55002621275154,4.85373348474211,4.97040492382057,4.55002621275154,5.04467234098602,4.97031576799614
ENSMUSG00000025902,4.96692344319696,5.07414747345698,4.8478026958296,4.96280493620051,4.83654009259037,4.55002621275154
ENSMUSG00000102269,4.55002621275154,4.55002621275154,4.55002621275154,4.84240085794678,4.55002621275154,4.84773932073834
ENSMUSG00000098104,5.7685318878884,5.73362576098914,5.77820403066348,5.65697343644688,5.95695066352113,5.89919967622632
ENSMUSG00000103922,5.13759222188236,5.07414747345698,5.14246545720039,5.05472350975263,4.83654009259037,4.84773932073834
ENSMUSG00000033845,5.7685318878884,5.53965346021242,5.98203794103269,5.93143547630283,6.1414929898746,6.1303608896357
ENSMUSG00000025903,6.07155157970921,5.95327335418694,6.17619550145227,6.33251565474236,6.44101445909157,6.50569905220168
ENSMUSG00000033813,5.05974211390413,4.85373348474211,5.14246545720039,5.19941895542506,5.39869176290658,5.47711494528562
ENSMUSG00000062588,4.84532804095971,4.55002621275154,4.8478026958296,4.84240085794678,4.83654009259037,4.55002621275154
ENSMUSG00000033793,6.11865149144099,6.13556529100528,6.17619550145227,6.17112701174441,6.18330670197161,6.30274827097778
ENSMUSG00000025905,4.55002621275154,4.55002621275154,4.97040492382057,4.84240085794678,4.55002621275154,4.55002621275154
ENSMUSG00000025907,5.79999987561406,5.76805763237908,5.56248169537354,6.00889454102499,6.07578547180652,6.1303608896357
ENSMUSG00000090031,4.84532804095971,4.55002621275154,4.97040492382057,4.96280493620051,4.83654009259037,4.84773932073834
ENSMUSG00000103845,4.55002621275154,4.55002621275154,4.97040492382057,4.55002621275154,4.55002621275154,4.84773932073834
ENSMUSG00000051285,5.86014950674632,5.76805763237908,5.67652169629056,5.9578730339057,5.90554594434957,6.03350959151923
ENSMUSG00000048538,5.13759222188236,4.97874745594446,4.8478026958296,4.84240085794678,4.55002621275154,5.21111568064832
ENSMUSG00000025909,4.55002621275154,4.85373348474211,4.8478026958296,4.55002621275154,4.55002621275154,4.55002621275154
ENSMUSG00000086235,4.84532804095971,4.85373348474211,4.55002621275154,4.55002621275154,4.55002621275154,4.55002621275154
ENSMUSG00000084353,4.96692344319696,4.97874745594446,4.55002621275154,4.55002621275154,4.83654009259037,4.84773932073834
ENSMUSG00000103933,4.84532804095971,4.55002621275154,4.55002621275154,4.55002621275154,4.83654009259037,4.55002621275154
ENSMUSG00000061024,5.70241504520798,5.92458687130325,5.64006889022325,5.7882807277741,5.73408693098152,5.27297797135704
ENSMUSG00000025911,5.26722056994364,5.28728010648666,4.8478026958296,4.55002621275154,4.83654009259037,5.06387545521139
ENSMUSG00000025912,4.96692344319696,4.55002621275154,4.55002621275154,4.96280493620051,4.83654009259037,4.97031576799614
ENSMUSG00000045210,6.14149440006602,6.13556529100528,6.3425629216389,6.29416091925841,6.2817717612937,6.26194133863066
ENSMUSG00000097893,5.13759222188236,5.07414747345698,5.21125448682178,5.26022824819178,5.39869176290658,5.32958098986897
ENSMUSG00000025915,5.13759222188236,5.07414747345698,4.97040492382057,4.96280493620051,4.83654009259037,5.32958098986897
ENSMUSG00000046334,4.84532804095971,4.85373348474211,5.06398408157612,4.96280493620051,5.12027662353195,4.55002621275154
ENSMUSG00000098234,4.96692344319696,5.07414747345698,4.8478026958296,5.05472350975263,4.95455767980966,5.21111568064832
ENSMUSG00000099032,5.05974211390413,5.15413966463503,4.97040492382057,5.05472350975263,5.18656827875365,4.84773932073834
ENSMUSG00000104025,4.84532804095971,4.55002621275154,4.8478026958296,4.84240085794678,4.55002621275154,4.55002621275154
ENSMUSG00000025917,5.99699118788009,6.086424492826,6.28284903441459,6.40578993420761,6.39019288049023,6.21969346345798
ENSMUSG00000056763,5.32339303662287,5.15413966463503,5.14246545720039,5.31587718527561,4.95455767980966,5.21111568064832
ENSMUSG00000067851,7.62732194684493,7.56862442508344,7.53219053782458,7.58267807488219,7.39055152503696,7.68910558417155
ENSMUSG00000100648,4.84532804095971,4.55002621275154,4.8478026958296,4.55002621275154,4.55002621275154,4.55002621275154
ENSMUSG00000048960,5.20583353554508,5.22423899447716,5.43118210793731,5.13182625783263,5.12027662353195,5.14234067064648
ENSMUSG00000016918,5.51315705435168,5.44825321088462,5.47730645030361,5.36742544089796,5.35139988358619,5.4309995469258
ENSMUSG00000005886,6.45750554805537,6.35445338170441,6.05880646229018,6.19254190703269,6.1414929898746,6.21969346345798
ENSMUSG00000101171,5.05974211390413,4.55002621275154,4.55002621275154,4.55002621275154,4.83654009259037,4.55002621275154
ENSMUSG00000025935,7.02565166085957,6.73188140203815,6.86101975832585,7.06057618945858,7.04081144540616,7.28026626824223
ENSMUSG00000025937,5.51315705435168,5.58190652775668,5.60211315645571,5.65697343644688,5.39869176290658,5.63984655088724
ENSMUSG00000102982,4.84532804095971,4.85373348474211,4.55002621275154,4.55002621275154,4.55002621275154,4.55002621275154
ENSMUSG00000067813,4.84532804095971,4.97874745594446,4.8478026958296,4.55002621275154,4.83654009259037,4.55002621275154
ENSMUSG00000025930,4.55002621275154,4.55002621275154,4.8478026958296,5.13182625783263,4.55002621275154,4.84773932073834
ENSMUSG00000032769,4.96692344319696,5.07414747345698,5.27312926049047,4.84240085794678,5.18656827875365,5.27297797135704
ENSMUSG00000092083,4.96692344319696,4.85373348474211,4.8478026958296,4.84240085794678,4.83654009259037,4.84773932073834
ENSMUSG00000025925,5.13759222188236,5.28728010648666,5.27312926049047,5.31587718527561,5.04467234098602,5.27297797135704
ENSMUSG00000104379,4.84532804095971,4.85373348474211,4.55002621275154,4.55002621275154,4.55002621275154,4.55002621275154
ENSMUSG00000032719,5.05974211390413,4.85373348474211,4.55002621275154,5.05472350975263,4.55002621275154,4.55002621275154
ENSMUSG00000043716,7.10232806714634,7.09394818211299,7.35476525300018,7.68231310902996,7.48482246889427,7.64590931234869
ENSMUSG00000025921,6.0472466933724,6.15937086669937,6.08326817608279,6.00889454102499,5.82341648272269,6.1303608896357
ENSMUSG00000025920,5.66757197486544,5.44825321088462,5.67652169629056,5.62109726964608,5.70241397868783,5.71138078721673
ENSMUSG00000025939,5.46982600248225,5.6222343940225,5.43118210793731,5.72485083690886,5.18656827875365,5.63984655088724
ENSMUSG00000079658,5.46982600248225,5.69793188033243,5.7454753785639,5.72485083690886,5.85152051648915,6.10691008002164
ENSMUSG00000025940,5.83051610052655,5.86478465792449,5.95521118891083,5.9578730339057,5.73408693098152,5.80963992407383
ENSMUSG00000025779,4.84532804095971,4.55002621275154,4.55002621275154,4.84240085794678,4.95455767980966,5.06387545521139
