,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
0610010F05Rik,34,38,33,38,55,45
0610010K14Rik,435,635,567,393,358,261
0610033M10Rik,285,270,308,357,433,397
0610040F04Rik,39,53,52,34,30,16
0610040J01Rik,15,9,11,9,14,8
1010001B22Rik,1,2,0,3,1,1
1110003F10Rik,6,12,10,7,9,8
1110013H19Rik,76,85,73,94,109,86
1110018N20Rik,18,13,9,24,14,14
1110032A03Rik,99,72,109,127,110,128
1110032F04Rik,2,0,2,0,1,0
1110038B12Rik,13,12,14,17,13,11
1110038F14Rik,152,140,140,260,211,227
1110065P20Rik,1,1,1,2,2,0
1190007I07Rik,11,11,8,10,11,16
1500002F19Rik,0,4,2,0,0,0
1500009L16Rik,89,69,100,123,102,122
1500011B03Rik,1,3,3,2,1,4
1500026H17Rik,1,2,0,1,2,0
1500032F14Rik,29,24,32,32,41,48
1500035N22Rik,8,0,2,10,4,7
1520401A03Rik,0,1,0,0,0,1
1600010M07Rik,33,38,34,48,39,34
1600012H06Rik,63,44,43,105,53,80
1600019K03Rik,12,4,15,20,15,16
1600020E01Rik,119,120,119,113,148,103
1600027J07Rik,1360,1451,1285,1304,1364,1193
1600029O15Rik,107,99,91,77,57,64
1700001F09Rik,0,0,1,3,1,1
1700001G17Rik,12,20,13,13,13,19
1700001J11Rik,1,0,1,1,3,0
1700001L19Rik,51,43,52,31,38,24
1700003D09Rik,47,62,74,62,64,51
1700003E16Rik,22,15,16,13,17,17
1700003G18Rik,1,1,0,0,1,1
1700003H04Rik,10,7,4,5,4,3
1700003I16Rik,0,1,0,0,0,1
1700003I22Rik,34,36,33,44,57,38
1700003P14Rik,9,12,7,9,5,6
1700006A11Rik,13,8,9,14,13,8
1700007L15Rik,7,5,7,10,6,0
1700007P06Rik,4,7,9,11,8,9
1700008N11Rik,4,0,7,4,4,1
1700008O03Rik,1,5,2,4,4,7
1700008P02Rik,12,4,13,7,17,6
1700009N14Rik,22,18,22,19,22,30
1700010D01Rik,10,10,12,18,13,5
1700010I14Rik,1,1,2,4,2,3
1700010K23Rik,2,0,0,0,1,1
1700010N08Rik,2,1,0,1,0,0
1700011M02Rik,3,3,3,3,6,5
1700012A03Rik,2,2,6,6,3,3
1700012B07Rik,5,4,4,2,5,4
1700012D16Rik,17,12,16,16,21,27
1700012J15Rik,4,7,4,4,5,3
1700013A02Rik,0,0,1,0,1,0
1700013G24Rik,5,11,7,8,11,7
1700013M08Rik,2,0,3,1,0,0
1700013N06Rik,0,2,0,2,0,1
1700014D04Rik,48,43,59,58,70,62
1700014F14Rik,13,21,16,10,20,16
1700014L14Rik,17,26,11,21,24,30
1700015C15Rik,1,0,0,1,0,0
1700016F12Rik,0,1,1,1,2,0
1700016H03Rik,14,11,22,78,51,122
1700016K19Rik,94,111,110,102,110,91
1700017J07Rik,24,23,29,28,30,42
1700018A04Rik,7,3,11,6,6,10
1700018A14Rik,2,3,1,2,0,0
1700018B08Rik,1,1,0,1,0,3
1700018B24Rik,89,83,104,82,87,93
1700018F24Rik,35,35,31,36,48,30
1700018P08Rik,19,16,16,19,23,15
1700019E08Rik,5,4,4,8,9,2
1700019F05Rik,3,0,0,1,0,0
1700019G24Rik,0,1,0,1,0,0
1700019M22Rik,1,0,0,1,1,0
1700020D05Rik,1,0,0,0,2,0
1700020D12Rik,48,39,41,39,31,19
1700020G03Rik,0,0,1,1,0,0
1700020M21Rik,59,73,49,81,60,48
1700020N01Rik,2,0,0,1,0,0
1700021F02Rik,10,8,15,9,9,7
1700021F13Rik,1,0,0,0,1,0
1700021P04Rik,28,30,26,40,36,40
1700022E09Rik,0,0,1,0,1,0
1700022H16Rik,6,9,6,9,14,6
1700023B13Rik,28,27,22,34,40,39
1700023H06Rik,2,0,1,0,1,0
1700024B18Rik,3,4,5,3,2,4
1700024G13Rik,1,0,1,0,0,3
1700025C18Rik,0,0,3,0,1,1
1700025F24Rik,1,1,0,2,0,1
1700025G04Rik,1,4,2,1,2,0
1700025H01Rik,239,191,201,209,258,202
1700025J12Rik,2,7,8,6,11,5
1700025K04Rik,0,0,0,1,2,2
1700026D11Rik,10,2,8,12,5,8
1700027F06Rik,43,42,42,56,59,78
1700027F09Rik,129,123,113,67,75,58
1700027I24Rik,4,7,6,7,5,7
1700027J07Rik,22,14,20,21,19,17
1700028D13Rik,14,12,12,10,8,10
1700028E10Rik,7,2,5,11,9,12
1700028I16Rik,0,0,1,0,0,1
1700028J19Rik,4,4,3,2,4,9
1700028K03Rik,14,17,19,14,11,15
1700028P14Rik,36,32,37,36,33,17
1700029H14Rik,28,25,23,29,26,25
1700029J03Rik,0,1,2,2,1,1
1700030A11Rik,61,59,47,54,92,53
1700030J22Rik,23,30,22,25,16,20
1700030L20Rik,124,133,172,273,199,174
1700034E13Rik,5,5,2,1,1,2
1700036O09Rik,3,0,0,3,2,4
1700037C06Rik,29,25,19,26,24,17
1700037F03Rik,6,3,3,5,9,4
1700040D17Rik,152,169,157,143,147,133
1700040F15Rik,44,26,34,44,71,39
1700040F17Rik,36,45,40,45,57,52
1700041C23Rik,2,1,2,0,0,0
1700041G16Rik,8,10,10,7,6,6
1700041M19Rik,0,0,0,3,5,3
1700042D02Rik,1,0,1,0,0,0
1700042O05Rik,18,12,14,10,20,22
1700042O10Rik,391,337,399,295,284,285
1700044C05Rik,33,26,26,28,32,24
1700044K03Rik,16,10,19,13,19,20
1700046C09Rik,2,3,2,3,2,2
1700047E10Rik,101,109,130,96,91,113
1700047L14Rik,37,28,22,19,28,14
1700047M11Rik,14,8,13,23,17,15
1700048M11Rik,13,3,11,14,11,8
1700049E15Rik,8,7,10,6,7,8
1700049E17Rik2,60,57,48,57,60,52
1700049E22Rik,149,144,153,155,145,126
1700052H01Rik,13,9,12,9,12,4
1700054M17Rik,11,9,10,8,10,9
1700054O05Rik,16,8,8,14,13,6
1700057G04Rik,12,16,6,19,22,25
1700060O08Rik,1,0,0,0,0,1
1700061H18Rik,1,3,1,1,6,4
1700063A18Rik,7,6,6,4,2,3
1700063H06Rik,0,0,1,0,1,1
1700064M15Rik,0,2,1,0,1,0
1700065J11Rik,3,0,1,0,0,2
1700065J18Rik,24,13,21,18,25,15
1700065L07Rik,6,3,12,10,12,12
1700066C05Rik,17,10,17,18,11,17
1700066N21Rik,3,1,2,0,1,1
1700067G17Rik,2,0,0,1,1,1
1700067K01Rik,88,81,85,52,51,53
1700069B07Rik,130,164,151,103,93,52
1700069P05Rik,46,68,53,35,44,36
1700072B07Rik,2,1,1,1,3,3
1700072O05Rik,6,3,2,3,2,0
1700080N15Rik,10,10,4,15,14,17
1700080O16Rik,0,1,1,1,2,0
1700081H04Rik,11,10,3,4,3,5
1700086D15Rik,25,24,31,20,19,11
1700086P04Rik,130,123,158,153,179,147
1700087M22Rik,1,1,1,1,0,0
1700091H14Rik,11,6,10,5,12,9
1700092C17Rik,20,25,29,24,22,22
1700092E16Rik,16,20,11,20,32,19
1700093K21Rik,31,33,33,33,42,37
1700094M23Rik,6,4,3,3,11,3
1700094M24Rik,2,3,0,0,1,0
1700095J12Rik,36,36,27,28,41,39
1700096J18Rik,38,45,62,47,35,33
1700096K18Rik,1,1,0,1,0,0
1700097N02Rik,4,9,7,6,8,5
1700102F20Rik,38,56,47,51,39,32
1700102P08Rik,0,0,0,0,1,3
1700104L18Rik,32,37,30,24,24,28
1700105G05Rik,4,2,0,1,2,4
1700106O07Rik,156,139,160,186,159,172
1700108N11Rik,45,57,58,63,77,57
1700109H08Rik,12,2,4,10,7,8
1700110C19Rik,5,5,4,5,2,7
1700110K17Rik,1,1,0,0,0,0
1700112D23Rik,1,0,2,0,0,0
1700112M02Rik,93,112,114,92,116,98
1700113B19Rik,5,8,9,4,9,9
1700120C18Rik,6,2,3,8,4,0
1700120G11Rik,9,10,6,5,5,6
1700122D07Rik,0,2,0,0,1,1
1700123K08Rik,1,1,1,1,0,0
1700123O12Rik,15,13,10,13,14,11
1700123O21Rik,0,1,2,2,2,4
1700125H03Rik,21,21,19,24,20,13
1700126G02Rik,2,3,4,2,2,5
1700126H18Rik,2,2,7,4,2,0
1700128F08Rik,39,19,40,17,60,20
1700128I11Rik,18,9,13,9,15,13
1810008B01Rik,2,1,4,3,1,0
1810009A15Rik,1,1,0,0,1,1
1810012K16Rik,0,0,0,2,2,0
1810014P07Rik,29,24,24,33,26,30
1810018F18Rik,0,1,0,1,1,2
1810019N24Rik,45,50,56,98,71,93
1810024B03Rik,38,17,16,37,28,29
1810026B05Rik,53,42,41,48,32,40
1810030O07Rik,1,0,2,0,0,0
1810034E14Rik,15,16,21,17,19,7
1810049I09Rik,1,2,4,0,3,3
1810049J17Rik,143,152,142,147,117,132
