,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
ENSMUSG00000102693,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0
ENSMUSG00000051951,0,1,2,0,3,2
ENSMUSG00000102851,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,0
ENSMUSG00000103161,0,0,0,0,0,0
ENSMUSG00000102331,0,0,0,0,0,0
ENSMUSG00000102348,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,0,0,0
ENSMUSG00000102948,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0
ENSMUSG00000025902,2,3,1,2,1,0
ENSMUSG00000104238,0,0,0,0,0,0
ENSMUSG00000102269,0,0,0,1,0,1
ENSMUSG00000096126,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0
ENSMUSG00000098104,18,16,18,15,26,22
ENSMUSG00000102175,0,0,0,0,0,0
ENSMUSG00000088000,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0
ENSMUSG00000103922,4,3,4,3,1,1
ENSMUSG00000033845,18,11,25,24,34,31
ENSMUSG00000102275,0,0,1,0,0,0
ENSMUSG00000025903,29,23,33,42,50,50
ENSMUSG00000104217,0,0,0,0,0,0
ENSMUSG00000033813,3,1,4,5,9,10
ENSMUSG00000062588,1,0,1,1,1,0
ENSMUSG00000103280,0,0,0,0,0,0
ENSMUSG00000002459,0,1,0,0,0,0
ENSMUSG00000091305,0,0,0,0,0,0
ENSMUSG00000102653,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0
ENSMUSG00000033793,31,30,33,34,36,39
ENSMUSG00000104352,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0
ENSMUSG00000025905,0,0,2,1,0,0
ENSMUSG00000103936,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0
ENSMUSG00000025907,19,17,12,27,31,31
ENSMUSG00000090031,1,0,2,2,1,1
ENSMUSG00000087247,0,0,0,0,0,0
ENSMUSG00000103355,0,0,1,0,0,0
ENSMUSG00000102706,0,0,0,0,0,0
ENSMUSG00000103845,0,0,2,0,0,1
ENSMUSG00000033740,0,1,0,0,0,0
ENSMUSG00000103329,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0
ENSMUSG00000102135,0,0,1,0,0,0
ENSMUSG00000103282,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0
ENSMUSG00000051285,21,17,15,25,24,27
ENSMUSG00000098201,0,0,0,0,0,0
ENSMUSG00000103509,0,0,0,0,0,1
ENSMUSG00000048538,4,2,1,1,0,5
ENSMUSG00000103709,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0
ENSMUSG00000097797,1,0,0,0,0,0
ENSMUSG00000103498,0,0,0,0,0,0
ENSMUSG00000103067,1,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0
ENSMUSG00000025909,0,1,1,0,0,0
ENSMUSG00000102647,0,0,0,0,0,0
ENSMUSG00000086235,1,1,0,0,0,0
ENSMUSG00000102253,0,0,0,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0
ENSMUSG00000084353,2,2,0,0,1,1
