"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"0610005C13Rik",6.0472466933724,6.20557103981437,5.80989312434793,5.50391306329549,5.24621820602974,5.47711494528562
"0610009B22Rik",5.37542153638055,5.39835260326824,5.47730645030361,5.36742544089796,5.66965650812093,5.63984655088724
"0610009E02Rik",5.05974211390413,4.97874745594446,4.8478026958296,5.05472350975263,4.55002621275154,4.55002621275154
"0610009L18Rik",4.84532804095971,4.85373348474211,4.8478026958296,4.84240085794678,4.55002621275154,4.84773932073834
"0610010F05Rik",5.32339303662287,5.39835260326824,5.06398408157612,5.69151785733987,5.12027662353195,5.74523371888967
"0610012G03Rik",6.65082973277954,6.46903965934078,6.36183366509843,6.19254190703269,6.1414929898746,6.08296839303372
"0610030E20Rik",5.70241504520798,5.73362576098914,5.95521118891083,5.7882807277741,5.66965650812093,5.80963992407383
"0610038B21Rik",4.55002621275154,4.55002621275154,4.8478026958296,4.55002621275154,4.55002621275154,4.84773932073834
"0610039K10Rik",5.7685318878884,5.95327335418694,6.05880646229018,5.46097076202944,5.70241397868783,5.77795648171871
"0610040B10Rik",4.96692344319696,4.55002621275154,4.8478026958296,4.55002621275154,4.55002621275154,4.84773932073834
"0610040F04Rik",4.96692344319696,5.15413966463503,5.06398408157612,4.96280493620051,4.95455767980966,4.84773932073834
"0610040J01Rik",6.63578927089074,6.29288726920253,6.43603485345174,6.50817419320384,6.48984556749869,6.48855708398128
"1110002L01Rik",4.96692344319696,4.85373348474211,4.97040492382057,5.05472350975263,5.04467234098602,5.14234067064648
"1110004F10Rik",5.59370416051301,5.53965346021242,5.64006889022325,5.9578730339057,5.93155636524019,5.98175494378905
"1110006O24Rik",4.55002621275154,4.85373348474211,4.55002621275154,4.55002621275154,5.04467234098602,4.55002621275154
"1110008P14Rik",5.66757197486544,5.6222343940225,5.67652169629056,5.46097076202944,5.73408693098152,5.47711494528562
"1110012L19Rik",5.32339303662287,5.53965346021242,5.27312926049047,5.36742544089796,5.3008161319968,5.38200434534157
"1110018N20Rik",4.55002621275154,4.85373348474211,4.97040492382057,4.96280493620051,4.55002621275154,4.55002621275154
"1110019D14Rik",4.96692344319696,4.85373348474211,4.8478026958296,4.84240085794678,5.12027662353195,4.97031576799614
"1110032A03Rik",5.70241504520798,5.53965346021242,5.47730645030361,5.69151785733987,5.60046774198871,5.60189790212981
"1110035H17Rik",5.79999987561406,6.00846777969207,5.92770271539353,5.65697343644688,5.60046774198871,5.32958098986897
"1110038B12Rik",5.55436469668866,5.73362576098914,5.47730645030361,5.90432942267151,6.05301156788435,6.1303608896357
"1110038F14Rik",5.32339303662287,5.34495063179585,5.52096528769512,5.54475442760383,5.39869176290658,5.27297797135704
"1110046J04Rik",5.13759222188236,5.44825321088462,5.14246545720039,5.05472350975263,5.18656827875365,5.32958098986897
"1110051M20Rik",5.59370416051301,5.73362576098914,5.47730645030361,5.415610587287,5.56377979958452,5.27297797135704
"1110059E24Rik",5.59370416051301,5.83355020707999,5.7454753785639,6.05766401169434,6.09811024847881,6.21969346345798
"1110059G10Rik",5.13759222188236,5.22423899447716,5.14246545720039,5.19941895542506,5.3008161319968,5.27297797135704
"1110065P20Rik",5.66757197486544,5.66085069174587,5.80989312434793,5.75707542792775,5.56377979958452,5.38200434534157
"1190001M18Rik",4.55002621275154,4.55002621275154,4.55002621275154,4.84240085794678,4.55002621275154,4.97031576799614
"1190007I07Rik",4.96692344319696,5.28728010648666,5.21125448682178,5.31587718527561,5.04467234098602,5.06387545521139
"1300002E11Rik",5.20583353554508,5.22423899447716,5.06398408157612,5.19941895542506,4.95455767980966,4.97031576799614
"1500002C15Rik",4.84532804095971,5.07414747345698,4.55002621275154,4.96280493620051,4.83654009259037,4.97031576799614
"1500002F19Rik",5.05974211390413,4.97874745594446,4.55002621275154,5.05472350975263,4.55002621275154,4.84773932073834
"1500004A13Rik",4.55002621275154,4.97874745594446,4.8478026958296,4.55002621275154,4.55002621275154,4.84773932073834
"1500009C09Rik",4.55002621275154,4.55002621275154,4.8478026958296,4.55002621275154,4.83654009259037,4.55002621275154
"1500009L16Rik",5.26722056994364,4.85373348474211,5.06398408157612,5.19941895542506,4.95455767980966,5.27297797135704
"1500011B03Rik",5.26722056994364,5.15413966463503,5.06398408157612,4.96280493620051,5.3008161319968,5.14234067064648
"1500015A07Rik",4.96692344319696,5.15413966463503,4.8478026958296,4.84240085794678,4.83654009259037,4.97031576799614
"1500026H17Rik",4.55002621275154,4.85373348474211,4.8478026958296,4.55002621275154,4.83654009259037,4.84773932073834
"1600012H06Rik",5.88896104141249,6.11125840173443,5.77820403066348,6.14931173486756,5.9817633055739,6.17588080469579
"1600014C10Rik",5.63138282781961,5.28728010648666,5.43118210793731,5.19941895542506,5.48537935557737,5.56227390861043
"1600020E01Rik",4.55002621275154,4.85373348474211,4.8478026958296,4.96280493620051,4.83654009259037,4.97031576799614
"1700001C19Rik",5.05974211390413,5.07414747345698,5.06398408157612,4.84240085794678,5.04467234098602,5.06387545521139
"1700001G11Rik",4.55002621275154,4.55002621275154,4.8478026958296,4.84240085794678,4.95455767980966,4.55002621275154
"1700001L05Rik",4.84532804095971,5.53965346021242,4.8478026958296,4.96280493620051,5.24621820602974,4.84773932073834
"1700001O22Rik",5.05974211390413,4.97874745594446,4.8478026958296,5.05472350975263,5.12027662353195,4.84773932073834
"1700003D09Rik",5.86014950674632,6.13556529100528,6.13066833966982,5.5837474257419,5.60046774198871,5.63984655088724
"1700003E16Rik",4.84532804095971,4.97874745594446,5.27312926049047,4.55002621275154,4.83654009259037,4.97031576799614
"1700003N22Rik",5.13759222188236,5.07414747345698,4.97040492382057,5.05472350975263,5.12027662353195,4.55002621275154
"1700007J10Rik",4.96692344319696,4.85373348474211,4.8478026958296,4.96280493620051,4.83654009259037,4.84773932073834
"1700007L15Rik",4.84532804095971,4.85373348474211,5.06398408157612,4.55002621275154,4.55002621275154,4.55002621275154
"1700008J07Rik",5.32339303662287,4.97874745594446,5.21125448682178,4.84240085794678,4.83654009259037,4.84773932073834
"1700010I14Rik",4.84532804095971,4.97874745594446,4.8478026958296,5.05472350975263,4.95455767980966,4.97031576799614
"1700012D14Rik",4.55002621275154,4.85373348474211,4.55002621275154,4.55002621275154,4.55002621275154,4.84773932073834
"1700016A09Rik",4.55002621275154,4.55002621275154,4.55002621275154,4.84240085794678,4.83654009259037,4.55002621275154
"1700016K19Rik",5.05974211390413,4.85373348474211,4.55002621275154,4.84240085794678,4.83654009259037,4.55002621275154
"1700016P03Rik",4.96692344319696,4.85373348474211,4.8478026958296,4.55002621275154,4.55002621275154,4.84773932073834
"1700017B05Rik",5.70241504520798,5.73362576098914,5.71161629885513,6.05766401169434,5.63571367445671,5.84036324565407
"1700018A04Rik",4.96692344319696,4.97874745594446,4.55002621275154,4.84240085794678,4.83654009259037,4.84773932073834
"1700018A23Rik",4.84532804095971,5.07414747345698,5.21125448682178,5.05472350975263,5.18656827875365,5.14234067064648
"1700018L02Rik",5.26722056994364,5.66085069174587,5.47730645030361,5.26022824819178,5.24621820602974,5.27297797135704
"1700018M17Rik",4.84532804095971,4.97874745594446,5.06398408157612,5.05472350975263,4.55002621275154,5.14234067064648
"1700019D03Rik",5.05974211390413,4.97874745594446,4.8478026958296,5.31587718527561,5.18656827875365,5.38200434534157
"1700019L13Rik",4.84532804095971,4.55002621275154,4.8478026958296,4.55002621275154,4.55002621275154,4.55002621275154
"1700020L24Rik",5.05974211390413,5.15413966463503,4.97040492382057,4.84240085794678,5.04467234098602,4.84773932073834
"1700021J08Rik",5.4240512800302,5.49521229910427,4.97040492382057,5.19941895542506,5.48537935557737,5.06387545521139
"1700022I11Rik",5.51315705435168,5.6222343940225,5.32974358643159,5.5837474257419,5.44321872014167,5.38200434534157
"1700022N22Rik",4.96692344319696,4.85373348474211,4.55002621275154,4.55002621275154,4.95455767980966,4.97031576799614
"1700023B13Rik",5.70241504520798,5.66085069174587,5.64006889022325,5.50391306329549,5.18656827875365,4.97031576799614
"1700025G04Rik",5.59370416051301,5.22423899447716,5.27312926049047,5.54475442760383,5.73408693098152,5.47711494528562
"1700028J19Rik",4.55002621275154,4.85373348474211,4.97040492382057,4.55002621275154,4.83654009259037,4.55002621275154
