"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"0610005C13Rik",6.61807514721692,6.90558981768408,6.08783638480102,5.19607986307548,4.29830554350611,5.09037769680687
"0610009B22Rik",4.98412908203751,5.03563331651549,5.31892449649553,4.88815912272857,5.8059615770909,5.70264778649209
"0610010F05Rik",3.24597978767855,3.4677584117931,2.23104797777945,4.25626059023328,2.4187632480816,4.36659264517482
"0610012G03Rik",7.02607075905729,6.69873998675939,6.53857185177515,6.15847976576216,6.05945741583938,5.91959371004643
"0610030E20Rik",3.78436274623597,3.83372430989187,4.35546590851025,3.92278680273404,3.63855066324636,3.94963295870585
"0610039K10Rik",5.90432043702356,6.30518088547166,6.55546277519687,4.97929760533793,5.66834845022976,5.83503730679453
"0610040J01Rik",6.53169969124746,5.92001209007598,6.19929187551056,6.25363976987644,6.22287527445114,6.19739428371598
"1110004F10Rik",5.87281301651421,5.68837872176857,6.0001959789513,6.70607073277201,6.64798579211513,6.7345208239114
"1110008P14Rik",4.23621904199366,4.09147866433637,4.25761254027988,3.59776237524194,4.33599232717561,3.62413401991543
"1110012L19Rik",4.38751006710359,5.0658397539928,4.1979035852102,4.47661480256032,4.23758948848841,4.50405938234483
"1110032A03Rik",4.64021337081997,4.17586677539688,4.01762099984687,4.54511471580861,4.30552236392411,4.28698215730197
"1110035H17Rik",5.60550196498327,6.04663672660474,5.89817524470558,5.17578878653103,5.02221289440776,4.14824827550876
"1110038B12Rik",5.60332127200632,6.06326516321989,5.36824189582046,6.4295590131659,6.75085259490949,6.88434455428867
"1110038F14Rik",4.45316673404636,4.50393636908141,5.10301325014184,5.10664136751141,4.64912854857733,4.17503451368622
"1110051M20Rik",3.90517423137319,4.23685061406966,3.57594100056333,3.32720758246701,3.7583972933053,2.83705174761424
"1110059E24Rik",6.10013493211815,6.6935972081408,6.50453343936598,7.1474913738154,7.23028073450078,7.4456040199036
"1110065P20Rik",5.26106724806127,5.21591426022678,5.61628103768968,5.42084631168126,4.90751430661677,4.31968590584668
"1600012H06Rik",4.82500096025967,5.26295652416124,4.56838492031917,5.29612774239201,4.9579501232115,5.32412626868171
"1600014C10Rik",3.81271631874281,2.76632071586004,3.25142004550615,2.41999360101397,3.34940236125704,3.54276084776674
"1700003D09Rik",5.58772355061836,6.1456584133744,6.1621579723213,4.8183803135087,4.86495425314472,4.94942244607304
"1700017B05Rik",3.70078017262883,3.7499152135022,3.72163884601418,4.41344222444653,3.47073088144367,3.93436383302721
"1700018L02Rik",3.09096089418096,4.26354092559434,3.77948448027224,3.00375290285585,2.9525393714802,3.02892546382195
"1700021J08Rik",5.63672123184981,5.83802953525732,3.58556311718122,4.71617828555733,5.76582746592319,4.04231001751842
"1700022I11Rik",6.06919346999096,6.35938689881699,5.45140565103535,6.20897754988889,5.77869399483218,5.54877847280476
"1700023B13Rik",5.6042215767217,5.46773814762852,5.43786502452263,4.9808993459143,3.84255618237411,2.73804160792289
"1700025G04Rik",4.07825264265938,2.87610121245129,3.07901965495433,3.87720347451129,4.37318085579087,3.66010198787011
"1700034P13Rik",2.85640342288483,2.55022584268694,3.1579641624396,3.28405099685779,3.764357918639,3.51130912410172
"1700037H04Rik",6.42400804168181,6.07965378745808,5.70754424526814,5.38140319580811,5.87198620740836,4.98094308932222
"1700066B19Rik",4.89062999064835,4.23601222420165,4.81633937737361,4.79487679200059,4.91257320389492,4.11920405698901
"1700101I11Rik",3.46004773840202,4.32411457906548,4.29508514746226,2.04028679935314,3.5188252109906,3.16022477562935
"1700123O20Rik",5.6442019802193,5.6466794569444,4.43301155853279,5.15827819256208,5.22331979147768,5.1862041105616
"1810013L24Rik",4.62718887229704,4.5374130710437,4.69287025834691,4.85048565181162,5.24886698587252,5.19748357035994
"1810014B01Rik",5.22829981050697,5.1239579357658,4.91932035375722,5.27229145185402,5.21518145789667,5.75580590775538
"1810026B05Rik",2.69017643015636,2.86539383369798,2.23060612206307,2.46617132118399,2.09054003460418,1.44957980596454
"1810030O07Rik",4.00024554409319,3.82487475792655,3.79648229115556,3.90743784266375,3.9525286243954,4.71576007191154
"1810037I17Rik",6.609785815311,6.53816875467768,6.88610937365736,7.11758784366834,6.83442975931014,6.4159143524116
"1810049J17Rik",6.46998005153887,7.33882849152936,6.87555780748782,5.49369628852985,4.65378499140209,5.71050202647423
"1810055G02Rik",6.67055360704914,6.77925351187957,6.51039225909109,5.93699641010002,6.77472254474559,5.5578938865437
"1810058I24Rik",3.98426844799239,4.58942743389332,4.21493710978683,4.36515423738827,4.60032585431664,4.6166207187993
"1810065E05Rik",11.8938160538376,12.0993054852589,12.0618401421835,12.3730680118164,12.569701435115,12.4103001045256
"2010001K21Rik",4.02781738675888,3.86954569951177,3.30560029244208,3.48670936037674,3.67398542916401,3.22221936188017
"2010003K11Rik",4.29891039951174,5.20945528828008,4.66678721974641,3.45506305628576,3.69622113709501,3.77704580471686
"2010300C02Rik",5.53632556550944,4.98001524302296,5.63280362721485,4.94431056691109,5.41960988029734,5.02485348961117
"2010315B03Rik",3.39231058770174,3.59556948120838,3.70733506285774,2.93573519338056,3.66771976548068,3.86497077654571
"2200002D01Rik",9.06722457430685,9.06790992860961,8.84768014183896,8.59169861974588,8.47260901491268,8.33412426943665
"2210009P08Rik",4.39886059295149,3.89721824271243,3.8687192977024,5.83995807983499,5.42724459128033,5.70134305536623
"2210016F16Rik",5.91199772209785,5.83640254111759,5.63632775412846,5.14201668268638,5.57499785437898,5.84270819582767
"2210016L21Rik",4.49224242110962,4.99957483403635,4.91299226102176,4.47198268067199,4.85022139042024,4.82310818162443
"2210407C18Rik",7.73627069317316,8.04051998310769,6.9978691635407,7.10790056864983,9.92027448603034,8.02004926702722
