"";"ensembl_gene_id";"external_gene_name"
"1";"ENSG00000210049";"MT-TF"
"2";"ENSG00000211459";"MT-RNR1"
"3";"ENSG00000210077";"MT-TV"
"4";"ENSG00000210082";"MT-RNR2"
"5";"ENSG00000209082";"MT-TL1"
"6";"ENSG00000198888";"MT-ND1"
"7";"ENSG00000210100";"MT-TI"
"8";"ENSG00000210107";"MT-TQ"
"9";"ENSG00000210112";"MT-TM"
"10";"ENSG00000198763";"MT-ND2"
"11";"ENSG00000210117";"MT-TW"
"12";"ENSG00000210127";"MT-TA"
"13";"ENSG00000210135";"MT-TN"
"14";"ENSG00000210140";"MT-TC"
"15";"ENSG00000210144";"MT-TY"
"16";"ENSG00000198804";"MT-CO1"
"17";"ENSG00000210151";"MT-TS1"
"18";"ENSG00000210154";"MT-TD"
"19";"ENSG00000198712";"MT-CO2"
"20";"ENSG00000210156";"MT-TK"
"21";"ENSG00000228253";"MT-ATP8"
"22";"ENSG00000198899";"MT-ATP6"
"23";"ENSG00000198938";"MT-CO3"
"24";"ENSG00000210164";"MT-TG"
"25";"ENSG00000198840";"MT-ND3"
"26";"ENSG00000210174";"MT-TR"
"27";"ENSG00000212907";"MT-ND4L"
"28";"ENSG00000198886";"MT-ND4"
"29";"ENSG00000210176";"MT-TH"
"30";"ENSG00000210184";"MT-TS2"
"31";"ENSG00000210191";"MT-TL2"
"32";"ENSG00000198786";"MT-ND5"
"33";"ENSG00000198695";"MT-ND6"
"34";"ENSG00000210194";"MT-TE"
"35";"ENSG00000198727";"MT-CYB"
"36";"ENSG00000210195";"MT-TT"
"37";"ENSG00000210196";"MT-TP"
"38";"ENSG00000262477";"AC021224.1"
"39";"ENSG00000212378";"RF00592"
"40";"ENSG00000277234";"RNU1-5P"
"41";"ENSG00000243313";"RN7SL285P"
"42";"ENSG00000251915";"RNA5SP406"
"43";"ENSG00000276988";"RF00017"
"44";"ENSG00000199530";"RF00019"
"45";"ENSG00000207196";"RF00019"
"46";"ENSG00000239102";"RNU7-185P"
"47";"ENSG00000243959";"RN7SL684P"
"48";"ENSG00000201356";"RNA5SP500"
"49";"ENSG00000239149";"SNORA59A"
"50";"ENSG00000252647";"RNA5SP416"
"51";"ENSG00000200688";"RF00019"
