Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12
ENSG00000000003	321	303	204	492	455	359	376	523	450	950	760	1436
ENSG00000000419	696	660	472	951	963	689	706	1041	796	1036	789	1413
ENSG00000000457	59	54	44	109	73	66	60	125	74	108	115	174
ENSG00000000460	399	405	236	445	454	374	316	505	398	141	168	259
ENSG00000001036	844	808	495	1065	1037	839	723	1266	984	1044	877	1428
ENSG00000001084	535	458	290	722	693	574	406	623	545	487	446	648
ENSG00000001167	493	444	308	511	523	350	370	579	497	637	548	878
ENSG00000001460	150	130	78	156	162	156	101	198	135	157	159	170
ENSG00000001461	491	510	275	822	752	508	549	1045	749	737	784	1020
ENSG00000001497	1136	1050	659	1359	1383	1026	842	1111	1032	653	572	782
ENSG00000001617	220	177	99	232	214	165	129	270	215	253	202	275
ENSG00000001629	988	916	579	1165	1247	887	682	1377	1005	1343	1392	2345
ENSG00000001630	73	66	38	68	57	49	16	47	31	39	44	34
ENSG00000001631	361	328	210	460	492	362	321	587	396	565	570	833
ENSG00000002016	38	36	20	64	44	48	45	92	73	119	136	162
ENSG00000002079	1345	1193	744	1622	1570	1141	777	1036	969	143	153	190
ENSG00000002330	163	160	110	287	188	187	208	248	267	417	316	418
ENSG00000002549	593	677	378	829	722	668	458	808	648	409	502	623
ENSG00000002586	3326	3045	1729	4648	4134	3168	3552	4726	4398	9767	7875	11759
ENSG00000002587	203	174	106	175	146	89	91	172	180	135	109	175
ENSG00000002822	813	777	470	1024	951	721	638	779	944	939	835	1098
ENSG00000002834	4763	4142	2437	5638	5122	3917	3772	6040	5301	8393	7388	10486
ENSG00000002919	330	323	205	403	337	274	180	372	281	338	334	434
ENSG00000003056	770	724	436	856	845	651	319	834	587	651	679	797
ENSG00000003096	7	10	4	15	13	8	4	9	6	7	11	10
ENSG00000003249	378	316	211	540	465	369	360	614	532	916	689	981
ENSG00000003393	297	274	164	312	329	227	212	354	329	319	352	487
ENSG00000003400	71	52	34	81	114	63	101	138	108	305	278	431
ENSG00000003402	145	136	85	194	176	148	72	174	111	163	181	207
ENSG00000003436	381	365	240	580	630	436	491	666	588	1263	1040	2018
ENSG00000003509	211	175	103	229	251	200	201	331	277	426	396	649
ENSG00000003756	290	301	156	390	357	306	253	388	329	618	618	815
ENSG00000003987	12	13	11	15	22	9	11	11	20	11	16	24
ENSG00000004059	1235	1129	672	1707	1567	1149	1304	1948	1839	3803	2695	4010
ENSG00000004142	1515	1435	872	1889	1769	1316	1027	1941	1584	1475	1238	1685
ENSG00000004399	352	339	188	369	411	293	223	384	321	458	459	543
ENSG00000004455	1898	1860	1178	2520	2356	1817	1721	2439	2039	1700	1482	2396
ENSG00000004478	2161	2028	1182	2372	2248	1641	1312	1930	1697	1395	1268	1768
ENSG00000004487	2658	2649	1517	3314	3377	2547	2139	3434	2980	3105	2989	4158
ENSG00000004534	589	530	327	672	625	490	362	462	489	525	499	795
ENSG00000004660	146	119	80	150	149	112	45	83	69	83	99	135
ENSG00000004700	431	452	272	540	500	426	236	669	421	281	326	451
ENSG00000004766	262	219	164	317	301	266	207	361	314	277	314	495
ENSG00000004776	6	3	1	19	10	6	13	11	20	14	9	21
ENSG00000004777	244	206	120	304	315	197	181	232	386	197	153	221
ENSG00000004779	702	608	375	910	842	581	564	947	810	682	571	969
ENSG00000004838	44	46	32	92	61	61	66	102	71	106	95	133
ENSG00000004864	704	662	390	796	859	663	369	724	575	398	437	624
ENSG00000004866	371	401	199	420	447	311	294	389	345	452	384	636
ENSG00000004897	1534	1401	888	1757	1743	1440	1169	1950	1576	1333	1267	2163
ENSG00000004961	471	470	291	530	510	416	352	529	409	374	365	538
ENSG00000004975	437	472	246	612	589	464	358	707	626	1002	878	1126
ENSG00000005001	396	315	171	269	238	173	142	228	227	708	570	755
ENSG00000005007	2346	2049	1181	2443	2358	1749	1281	2041	2043	2077	1758	2324
ENSG00000005020	714	602	413	901	908	633	585	1025	768	1441	1435	2360
ENSG00000005022	6030	5834	3699	7954	6855	5331	4856	8228	6611	4005	3984	5774
ENSG00000005059	480	478	270	678	676	493	555	760	595	656	523	917
ENSG00000005073	92	98	52	75	77	53	64	77	80	63	51	75
ENSG00000005075	507	420	446	570	598	400	934	606	1146	1858	760	2161
ENSG00000005100	558	508	316	535	533	376	258	463	344	315	336	453
ENSG00000005156	230	238	119	290	277	211	116	235	150	110	129	129
ENSG00000005175	517	488	290	607	606	478	492	696	524	676	517	1054
ENSG00000005187	11	3	0	11	10	10	15	8	10	18	23	27
ENSG00000005189	130	130	95	182	169	135	122	178	174	100	111	157
ENSG00000005194	488	523	280	508	507	420	351	543	404	323	276	417
ENSG00000005206	372	386	218	569	488	377	301	462	481	582	512	707
ENSG00000005238	67	57	24	54	53	36	56	97	81	200	180	251
ENSG00000005243	207	202	119	271	247	224	249	349	347	548	414	722
ENSG00000005302	274	275	167	349	345	240	272	419	322	340	363	517
ENSG00000005339	466	374	222	613	624	416	305	597	450	540	565	768
ENSG00000005436	225	232	170	275	313	224	168	263	202	252	246	491
ENSG00000005448	307	296	160	444	384	279	282	432	373	367	342	465
ENSG00000005469	163	163	110	227	222	189	185	295	259	291	338	515
ENSG00000005483	474	432	271	611	646	482	484	722	627	1041	920	1510
ENSG00000005486	514	546	267	678	607	494	486	706	655	793	663	918
ENSG00000005700	345	326	205	414	455	320	258	466	382	494	491	790
ENSG00000005801	176	178	114	209	236	162	201	193	205	338	280	564
ENSG00000005810	418	433	248	500	567	426	306	438	334	426	462	613
ENSG00000005812	853	820	559	1449	1509	1127	735	1348	1077	1379	1498	2317
ENSG00000005882	190	168	110	268	275	223	199	371	341	485	529	572
ENSG00000005884	5921	5393	3198	6199	5807	4254	2875	5040	4490	6684	6202	7495
ENSG00000005889	420	425	313	650	621	501	391	539	482	666	694	1038
ENSG00000005893	1081	911	584	1296	1339	968	890	1672	1276	2511	2320	3450
ENSG00000005955	821	772	456	827	1016	705	490	751	681	999	847	1574
ENSG00000005961	15	18	7	15	23	13	20	20	23	70	74	81
ENSG00000006007	731	735	431	897	946	734	622	1135	769	1117	1074	1471
ENSG00000006015	256	213	123	396	282	224	275	354	348	421	332	462
ENSG00000006025	146	110	48	215	192	138	247	295	355	1012	978	1059
ENSG00000006042	32	25	10	43	37	28	18	39	26	40	51	60
ENSG00000006062	435	433	226	365	335	264	265	435	367	409	378	457
ENSG00000006114	246	218	136	256	269	197	150	302	265	358	393	553
ENSG00000006118	567	478	273	712	618	431	372	552	638	1480	1198	1402
ENSG00000006125	3409	3211	2023	3941	4119	3193	2813	5502	3392	3446	3773	4656
ENSG00000006194	235	210	145	288	234	203	162	251	197	261	246	299
